id,abbrev_ao,district_id,point,address,type,calculated_radius,modifier_v1,modifier_v2
53428,ЦАО,71,"{'lat': 55.7519886, 'lon': 37.610305}",метро Александровский сад,metro,400.0,0.21394280068542398,0.1740447120676481
53416,ЦАО,78,"{'lat': 55.758783, 'lon': 37.617952}",метро Охотный ряд,metro,400.0,0.38160886734556515,0.32333121232667694
53383,ЦАО,77,"{'lat': 55.753211, 'lon': 37.633601}",метро Китай-город,metro,400.0,0.3102263121369708,0.2598529739252113
53434,ЦАО,78,"{'lat': 55.7518779, 'lon': 37.6123922}",метро Александровский сад,metro,400.0,0.40915989454745205,0.3516629599891235
53435,ЦАО,71,"{'lat': 55.7525264, 'lon': 37.6106381}",метро Александровский сад,metro,400.0,0.20992466851489383,0.16938257793357736
53456,ЦАО,71,"{'lat': 55.7522365, 'lon': 37.6101956}",метро Александровский сад,metro,400.0,0.2159824258139614,0.1766135862818643
53515,ЦАО,75,"{'lat': 55.759845, 'lon': 37.625138}",метро Лубянка,metro,400.0,0.4286846265706493,0.3816793755958319
53518,ЦАО,73,"{'lat': 55.7316865, 'lon': 37.6358771}",метро Павелецкая,metro,400.0,0.4136436765659695,0.3739673783228827
54357,ЦАО,75,"{'lat': 55.76013, 'lon': 37.624948}","109012, театральный проезд, д. 5,  стр 1",postamat,400.0,0.43586901722427734,0.380168068359323
53650,ЦАО,80,"{'lat': 55.7294594, 'lon': 37.6109171}",метро Октябрьская,metro,400.0,0.28705693548288086,0.2643590371497748
54374,ЦАО,73,"{'lat': 55.725611, 'lon': 37.643291}","115114, летниковская ул., д. 10, стр. 2",postamat,400.0,0.2803140666808351,0.2318455419088563
53848,ЦАО,73,"{'lat': 55.731562, 'lon': 37.634689}","115054, новокузнецкая ул., д. 42, стр. 5",postamat,400.0,0.3906300933560637,0.33668508536876063
53847,ЦАО,72,"{'lat': 55.757592, 'lon': 37.636437}","101000, маросейка ул., д. 8",postamat,400.0,0.3296610361048782,0.2537230774317092
53862,ЦАО,73,"{'lat': 55.741597, 'lon': 37.625648}","115035, большая ордынка ул., д. 19, стр. 1",postamat,400.0,0.38256527472233326,0.33266434237454323
53923,ЦАО,77,"{'lat': 55.743188, 'lon': 37.662686}","109004, большой факельный пер., д. 1",postamat,400.0,0.36178183026376354,0.3160471610291112
53961,ЦАО,78,"{'lat': 55.75474, 'lon': 37.621408}","109012, красная пл., д. 3",postamat,400.0,0.34590680831028675,0.2697701403481445
54379,ЦАО,73,"{'lat': 55.731014, 'lon': 37.639958}","115114, павелецкая пл., д. 3",postamat,400.0,0.3824995271946178,0.32914778036777553
53867,ЦАО,72,"{'lat': 55.758352, 'lon': 37.631802}","101000, лучников пер.,  д. 4, стр. 2, офис 16",postamat,400.0,0.4362472463451112,0.37490505965374965
53976,ЦАО,72,"{'lat': 55.760155, 'lon': 37.631712}","101000, мясницкая ул., д. 10, стр. 1",postamat,400.0,0.412683185103053,0.34866394353124686
53986,ЦАО,73,"{'lat': 55.740669, 'lon': 37.62881}","119017, пятницкая ул., д. 31/2, стр. 3",postamat,400.0,0.3167673555722013,0.25526137118056474
54059,ЦАО,73,"{'lat': 55.729828, 'lon': 37.645958}","115114, кожевническая ул., д. 7, стр. 1",postamat,400.0,0.25456346906978006,0.1943944508366046
53980,ЦАО,78,"{'lat': 55.757137, 'lon': 37.620805}","109012, театральная пл., д. 5, стр. 2",postamat,400.0,0.3520695718700528,0.27581681365318245
53985,ЦАО,72,"{'lat': 55.760641, 'lon': 37.658212}","105064, земляной вал ул., д. 21/2, стр. 1",postamat,400.0,0.4625056980470895,0.41111886991333413
53987,ЦАО,73,"{'lat': 55.726882, 'lon': 37.625801}","115093, большая серпуховская ул., д. 17, стр. 1",postamat,400.0,0.4179925122223157,0.37088234242797524
